city,state,region,cbsa_code,income_2016,income_2017,income_2018,income_2019,income_2020,income_2021,income_2022,income_2023
Akron,OH,Midwest,10420,45463,47163,49091,50905,54376,59583,59609,62904
Albany,NY,Northeast,10580,51996,54685,56159,58330,62728,66929,67884,71972
Albuquerque,NM,West,10740,40050,40802,42178,44597,48463,52372,54687,57278
Allentown,PA,Northeast,10900,48896,50135,52126,54962,58589,61836,62900,66493
Atlanta,GA,South,12060,48350,50920,53081,55470,58176,63281,64840,68027
Augusta,GA,South,12260,38817,40352,41565,43453,46863,49994,50248,52069
Austin,TX,South,12420,52471,56253,59839,62443,63982,70971,75999,80471
Bakersfield,CA,Pacific,12540,36168,36574,37557,39288,44528,46934,44595,47350
Baltimore,MD,Northeast,12580,55720,57539,59432,61787,65607,70211,72580,76923
Baton Rouge,LA,South,12940,44066,45363,47449,49101,52237,56987,58423,61972
Birmingham,AL,South,13820,46011,48120,50091,51906,54798,60940,62993,66502
Boise,ID,West,14260,41559,43335,45595,47955,51657,58086,61112,63689
Boston,MA,Northeast,14460,69736,72924,76594,80092,84686,92742,95926,100880
Bridgeport,CT,Northeast,14860,103708,106972,112898,113672,113480,121905,130214,139006
Buffalo,NY,Northeast,15380,44390,46468,47516,49459,54269,56855,57503,61106
Cape Coral,FL,South,15980,48594,50716,52981,55301,58641,61275,61510,65878
Charleston,SC,South,16700,47733,50016,52070,54539,58135,63408,66223,69588
Charlotte,NC,South,16740,47186,49138,50996,54516,56685,61901,64567,68486
Chattanooga,TN,South,16860,42406,44142,45809,47632,50292,53797,56016,58813
Chicago,IL,Midwest,16980,55027,56964,60416,62228,65871,71206,73317,77429
Cincinnati,OH,Midwest,17140,49237,51044,52888,55276,58736,63980,65267,68560
Cleveland,OH,Midwest,17410,48746,50412,52261,54078,56929,62011,63830,67451
Colorado Springs,CO,West,17820,44612,46258,48086,50617,54476,59608,62021,65775
Columbia,SC,South,17900,47740,49080,50564,52014,55801,60921,62311,65277
Columbus,OH,Midwest,18140,42039,43733,44691,46716,49506,54066,54683,57976
Dallas,TX,South,19100,51451,53996,57137,59428,61409,67666,70887,74165
Daytona Beach,FL,South,19660,39817,41733,43571,46613,48282,52896,53695,57280
Denver,CO,West,19740,55105,58947,63534,67585,71292,79446,86141,89297
Des Moines,IA,Midwest,19780,50612,51754,53230,54721,58245,63195,65423,68420
Detroit,MI,Midwest,19820,48092,49309,51429,52868,57017,60724,62545,66098
Durham,NC,South,20500,48324,50340,51957,54951,58068,62626,65122,68654
El Paso,TX,South,21340,32889,33899,35333,36915,39993,44213,44062,46732
Fayetteville,AR,South,22220,59389,61204,65248,62254,64497,77159,85237,89095
Fresno,CA,Pacific,23420,39072,39600,40606,42639,48200,51977,50440,52728
Grand Rapids,MI,Midwest,24340,46139,46865,48608,50153,54955,61100,62288,65239
Greensboro,NC,South,24660,39704,41021,42461,44560,47437,51874,53734,56030
Greenville,SC,South,24860,40698,42441,43746,45582,47635,51744,53156,55747
Harrisburg,PA,Northeast,25420,47285,48949,51145,53269,57285,60447,61224,64066
Hartford,CT,Northeast,25540,58296,59368,61429,63319,66941,69688,71684,75241
Honolulu,HI,Pacific,46520,51805,53723,54633,56784,60246,63755,65708,69893
Houston,TX,South,26420,50841,54000,57086,58902,59431,65196,68808,72453
Indianapolis,IN,Midwest,26900,50039,51188,53582,56416,60299,67119,69545,72494
Jackson,MS,South,27140,41489,41960,42966,44621,48607,53345,54710,58104
Jacksonville,FL,South,27260,45174,47725,49361,51536,54831,60264,62107,65324
Kansas City,MO,Midwest,28140,49597,51103,52798,54560,57404,61022,66272,69865
Knoxville,TN,South,28940,42139,43539,45883,48423,51757,57581,58941,62167
Lakeland,FL,South,29460,33702,35287,36200,37805,40794,43780,43103,44430
Las Vegas,NV,West,29820,43621,45547,47466,50415,52642,58224,60083,63767
Little Rock,AR,South,30780,43156,43870,44948,46726,50915,55386,56399,59463
Los Angeles,CA,Pacific,31080,56287,58282,60697,64293,69637,75332,76760,80898
Louisville,KY,South,31140,45876,47348,49337,51193,54677,60470,61964,65205
Madison,WI,Midwest,31540,53334,55068,58032,60895,63796,70480,71900,75862
McAllen,TX,South,32580,25307,25794,26823,28103,31101,34807,32961,34373
Memphis,TN,South,32820,43143,44557,46218,48269,51329,56910,57193,60083
Miami,FL,South,33100,51091,55246,59197,62444,64957,73220,78610,84302
Milwaukee,WI,Midwest,33340,51560,53341,55900,57580,60639,66546,68735,72316
Minneapolis,MN,Midwest,33460,57172,59132,61785,63815,66526,73203,76155,79654
Nashville,TN,South,34980,52406,54263,57340,60678,63959,71439,75477,79453
New Haven,CT,Northeast,35300,50725,51504,53729,56443,59957,64206,64998,68387
New Orleans,LA,South,35380,47719,49461,51880,54102,56378,62890,62881,66588
New York,NY,Northeast,35620,64886,68621,71172,73841,77174,83995,86058,91448
Ogden,UT,West,36260,39657,40952,42963,44988,48236,53442,55999,59122
Oklahoma City,OK,South,36420,44787,46015,47746,51058,53413,57984,62194,64468
Omaha,NE,Midwest,36540,52237,53974,56148,57443,59928,65576,71406,75033
Orlando,FL,South,36740,39527,41500,43151,45144,47953,52947,54615,57774
Oxnard,CA,Pacific,37100,55756,57456,59781,62925,67666,74252,73994,78091
Palm Bay,FL,South,37340,41496,43462,45693,48147,51188,55485,56550,60162
Philadelphia,PA,Northeast,37980,58589,59467,62282,63798,67725,71896,74485,78761
Phoenix,AZ,West,38060,43196,45249,47562,50342,54681,60086,62555,66365
Pittsburgh,PA,Northeast,38300,50652,53021,56109,57531,61335,64898,66750,70559
Portland,ME,Northeast,38860,51674,53956,56288,58966,63489,69744,73385,78085
Portland,OR,Pacific,38900,50367,52962,56285,58551,62557,69099,71037,74992
Providence,RI,Northeast,39300,48395,50312,52061,55031,59808,63377,64441,67405
Provo,UT,West,39340,36471,37904,39765,43558,47049,52031,54282,57531
Raleigh,NC,South,39580,50824,52254,55686,57774,61490,68848,71364,75129
Richmond,VA,South,40060,51617,53636,54922,57761,61308,66074,67805,71794
Riverside,CA,Pacific,40140,37275,38229,39671,42138,46540,50700,49908,52553
Rochester,NY,Northeast,40380,45918,48183,49277,51286,55699,58261,58731,61762
Sacramento,CA,Pacific,40900,50659,52134,54155,56671,61803,66588,66642,70418
Salt Lake City,UT,West,41620,45734,47502,50006,52194,56370,63510,66506,70395
San Antonio,TX,South,41700,43637,45480,47816,48251,49823,53978,56592,59477
San Diego,CA,Pacific,41740,55074,56969,59014,62047,67569,73084,74476,79122
San Francisco,CA,Pacific,41860,83812,89560,95972,99888,108866,123973,123152,130730
San Jose,CA,Pacific,41940,88801,96174,104834,110756,119863,141146,139912,148036
Sarasota,FL,South,35840,52289,55478,58174,61799,64355,69235,70120,74949
Scranton,PA,Northeast,42540,41431,42185,44020,45429,49839,52617,52467,54826
Seattle,WA,Pacific,42660,64639,68086,72181,76794,81697,89358,92291,99339
Spokane,WA,Pacific,44060,40347,41760,43597,45195,48667,53679,54710,57886
St. Louis,MO,Midwest,41180,50748,51653,54637,56758,61208,67489,70837,75577
Stockton,CA,Pacific,44700,39777,40888,42320,45297,51569,55952,56363,59361
Syracuse,NY,Northeast,45060,44264,46554,48030,50084,55111,58069,57955,60736
Tampa,FL,South,45300,43783,45658,47569,50054,53610,58124,59961,63789
Toledo,OH,Midwest,45780,43206,44069,45986,47591,50818,54466,55436,58180
Tulsa,OK,South,46140,47087,50433,53979,55378,55760,60392,66024,69022
Tuscon,AZ,West,46060,39723,41950,43624,45493,49595,53631,54776,58232
Virginia Beach,VA,South,47260,46137,47362,47486,49087,52346,56873,58611,62575
Washington,DC,Northeast,47900,66189,67897,70255,72218,75229,81121,84517,89396
Wichita,KS,Midwest,48620,45498,47530,49182,50964,52192,56548,57170,60375
Winston-Salem,NC,South,49180,41182,42957,43732,45834,48649,53449,54744,57101
Worcester,MA,Northeast,49340,49957,51179,52828,55326,60161,63348,65083,67810
