CBSA,NAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,LSAD
10180,"Abilene, TX",176562,176883,177831,179665,181591,Metropolitan Statistical Area
10180,"Callahan County, TX",13705,13747,14098,14247,14374,County or equivalent
10180,"Jones County, TX",19654,19682,19811,20271,20381,County or equivalent
10180,"Taylor County, TX",143203,143454,143922,145147,146836,County or equivalent
10420,"Akron, OH",702225,701674,696512,697511,698398,Metropolitan Statistical Area
10420,"Portage County, OH",161796,161853,159076,161742,162665,County or equivalent
10420,"Summit County, OH",540429,539821,537436,535769,535733,County or equivalent
10500,"Albany, GA",148915,148249,144933,145796,145508,Metropolitan Statistical Area
10500,"Dougherty County, GA",85793,85155,82235,82895,82645,County or equivalent
10500,"Lee County, GA",33164,33222,33209,33678,33872,County or equivalent
10500,"Terrell County, GA",9184,9140,8924,8792,8718,County or equivalent
10500,"Worth County, GA",20774,20732,20565,20431,20273,County or equivalent
10540,"Albany, OR",128611,128981,130120,130622,131496,Metropolitan Statistical Area
10540,"Linn County, OR",128611,128981,130120,130622,131496,County or equivalent
10580,"Albany-Schenectady-Troy, NY",899247,899724,904824,903595,904682,Metropolitan Statistical Area
10580,"Albany County, NY",314851,314018,316178,315921,316659,County or equivalent
10580,"Rensselaer County, NY",161124,160871,160622,159421,159305,County or equivalent
10580,"Saratoga County, NY",235502,235793,237846,238468,238711,County or equivalent
10580,"Schenectady County, NY",158052,159289,160046,159694,159902,County or equivalent
10580,"Schoharie County, NY",29718,29753,30132,30091,30105,County or equivalent
10740,"Albuquerque, NM",916545,917579,919392,920138,922296,Metropolitan Statistical Area
10740,"Bernalillo County, NM",676452,676853,675286,672957,671586,County or equivalent
10740,"Sandoval County, NM",148834,149290,151478,153597,155936,County or equivalent
10740,"Torrance County, NM",15052,15062,15313,15383,15633,County or equivalent
10740,"Valencia County, NM",76207,76374,77315,78201,79141,County or equivalent
10780,"Alexandria, LA",152184,151800,150882,149068,148171,Metropolitan Statistical Area
10780,"Grant Parish, LA",22171,22149,22256,22040,21911,County or equivalent
10780,"Rapides Parish, LA",130013,129651,128626,127028,126260,County or equivalent
10900,"Allentown-Bethlehem-Easton, PA-NJ",861910,861557,870135,870570,873555,Metropolitan Statistical Area
10900,"Warren County, NJ",109637,109520,110567,110903,111252,County or equivalent
10900,"Carbon County, PA",64753,64752,65522,65493,65458,County or equivalent
10900,"Lehigh County, PA",374571,374501,375889,376274,377754,County or equivalent
10900,"Northampton County, PA",312949,312784,318157,317900,319091,County or equivalent
