cbsa_code,cbsa_title,est_2016,est_2017,est_2018,est_2019
,".Abilene, TX Metro Area",170017,170429,171150,172060
10420,".Akron, OH Metro Area",703524,703987,703855,703479
,".Albany, GA Metro Area",149137,148090,147840,146726
,".Albany-Lebanon, OR Metro Area",122769,125035,127451,129749
10580,".Albany-Schenectady-Troy, NY Metro Area",879792,882158,882263,880381
10740,".Albuquerque, NM Metro Area",909237,912311,914947,918018
,".Alexandria, LA Metro Area",154124,153549,152762,152037
10900,".Allentown-Bethlehem-Easton, PA-NJ Metro Area",833163,837921,842626,844052
,".Altoona, PA Metro Area",123708,123147,122503,121829
,".Amarillo, TX Metro Area",262987,264331,264406,265053
,".Ames, IA Metro Area",123309,123721,123093,123351
,".Anchorage, AK Metro Area",401368,400570,397636,396317
,".Ann Arbor, MI Metro Area",366135,368807,369483,367601
,".Anniston-Oxford, AL Metro Area",114973,114710,114331,113605
,".Appleton, WI Metro Area",234200,235811,237011,237974
,".Asheville, NC Metro Area",450310,454855,459314,462680
,".Athens-Clarke County, GA Metro Area",205402,209106,211468,213750
12060,".Atlanta-Sandy Springs-Alpharetta, GA Metro Area",5787965,5872432,5945303,6020364
,".Atlantic City-Hammonton, NJ Metro Area",267217,265498,263989,263670
,".Auburn-Opelika, AL Metro Area",159168,161440,163656,164542
12260,".Augusta-Richmond County, GA-SC Metro Area",595029,600276,604221,608980
12420,".Austin-Round Rock-Georgetown, TX Metro Area",2062016,2115475,2165497,2227083
12540,".Bakersfield, CA Metro Area",880856,887356,893758,900202
12580,".Baltimore-Columbia-Towson, MD Metro Area",2794111,2798707,2800743,2800053
,".Bangor, ME Metro Area",151333,151645,151817,152148
,".Barnstable Town, MA Metro Area",213559,213581,213471,212990
12940,".Baton Rouge, LA Metro Area",856723,854295,854526,854884
,".Battle Creek, MI Metro Area",134344,134180,134049,134159
,".Bay City, MI Metro Area",104411,104045,103702,103126
,".Beaumont-Port Arthur, TX Metro Area",396539,398129,393815,392563
,".Beckley, WV Metro Area",120475,118673,117154,115767
,".Bellingham, WA Metro Area",216417,221410,225197,229247
,".Bend, OR Metro Area",180666,186744,191905,197692
,".Billings, MT Metro Area",177759,179365,180203,181667
,".Binghamton, NY Metro Area",243322,241709,240366,238691
13820,".Birmingham-Hoover, AL Metro Area",1082877,1085615,1087967,1090435
,".Bismarck, ND Metro Area",127233,128115,128279,128949
,".Blacksburg-Christiansburg, VA Metro Area",166572,166605,167492,167531
,".Bloomington, IL Metro Area",173070,172754,172410,171517
,".Bloomington, IN Metro Area",166655,167429,168092,169230
,".Bloomsburg-Berwick, PA Metro Area",84390,83851,83455,83194
14260,".Boise City, ID Metro Area",691285,709682,728911,749202
14460,".Boston-Cambridge-Newton, MA-NH Metro Area",4809061,4841772,4859536,4873019
,"..Boston, MA Metro Division",2001862,2016866,2024799,2031884
,"..Cambridge-Newton-Framingham, MA Metro Division",2374511,2388396,2396653,2400733
,"..Rockingham County-Strafford County, NH Metro Division",432688,436510,438084,440402
,".Boulder, CO Metro Area",321250,322441,324636,326196
,".Bowling Green, KY Metro Area",171902,174981,176864,179240
,".Bremerton-Silverdale-Port Orchard, WA Metro Area",263142,266289,269276,271473
14860,".Bridgeport-Stamford-Norwalk, CT Metro Area",944347,943038,943971,943332
,".Brownsville-Harlingen, TX Metro Area",421350,422227,422139,423163
,".Brunswick, GA Metro Area",116571,117587,118282,118779
15380,".Buffalo-Cheektowaga, NY Metro Area",1130232,1129882,1129777,1127983
,".Burlington, NC Metro Area",160283,163276,166514,169509
,".Burlington-South Burlington, VT Metro Area",217447,218975,219939,220411
,".California-Lexington Park, MD Metro Area",111750,112487,112720,113510
,".Canton-Massillon, OH Metro Area",401068,399327,398330,397520
15980,".Cape Coral-Fort Myers, FL Metro Area",722649,740000,754470,770577
,".Cape Girardeau, MO-IL Metro Area",97109,96819,96868,96765
,".Carbondale-Marion, IL Metro Area",138634,137352,136694,135764
,".Carson City, NV Metro Area",54147,54532,55202,55916
,".Casper, WY Metro Area",80909,79586,79175,79858
,".Cedar Rapids, IA Metro Area",268224,270653,272061,273032
,".Chambersburg-Waynesboro, PA Metro Area",153705,154376,154579,155027
,".Champaign-Urbana, IL Metro Area",226722,226847,226284,226033
,".Charleston, WV Metro Area",268130,264227,260280,257074
16700,".Charleston-North Charleston, SC Metro Area",761578,775537,788122,802122
16740,".Charlotte-Concord-Gastonia, NC-SC Metro Area",2499697,2550373,2592950,2636883
,".Charlottesville, VA Metro Area",213675,216104,217335,218615
